id_pedido,numero_itens,id_produto,id_vendedor,preco,frete_valor,preco_total,frete_total,total
00024acbcdf0a6daa1e931b038114c75,1,7634da152a4610f1595efa32f14722fc,9d7a1d34a5052409006425275ba1c2b4,12.99,12.79,12.99,12.79,25.78
00048cc3ae777c65dbb7d2a0634bc1ea,1,ef92defde845ab8450f9d70c526ef70f,6426d21aca402a131fc0a5d0960a3c90,21.9,12.69,21.9,12.69,34.589999999999996
00054e8431b9d7675808bcb819fb4a32,1,8d4f2bb7e93e6710a28f34fa83ee7d28,7040e82f899a04d1b434b795a43b4617,19.9,11.85,19.9,11.85,31.75
000e562887b1f2006d75e0be9558292e,1,5ed9eaf534f6936b51d0b6c5e4d5c2e9,8cbac7e12637ed9cffa18c7875207478,25.0,16.11,25.0,16.11,41.11
000e906b789b55f64edcb1f84030f90d,1,57d79905de06d8897872c551bfd09358,ea8482cd71df3c1969d7b9473ff13abc,21.99,11.85,21.99,11.85,33.839999999999996
00130c0eee84a3d909e75bc08c5c3ca1,1,89321f94e35fc6d7903d36f74e351d40,16090f2ca825584b5a147ab24aa30c86,27.9,7.94,27.9,7.94,35.839999999999996
00143d0f86d6fbd9f9b38ab440ac16f5,3,e95ee6822b66ac6058e2e4aff656071a,a17f621c590ea0fab3d5d883e1630ec6,21.33,15.1,63.989999999999995,45.3,109.28999999999999
0014ae671de39511f7575066200733b7,1,23365beed316535b4105bd800c46670e,92eb0f42c21942b6552362b9b114707d,16.5,14.1,16.5,14.1,30.6
0015ebb40fb17286bea51d4607c4733c,1,50fd2b788dc166edd20512370dac54df,8b321bb669392f5163d04c59e235e066,21.9,15.1,21.9,15.1,37.0
001ab0a7578dd66cd4b0a71f5b6e1e41,3,0b0172eb0fd18479d29c3bc122c058c2,5656537e588803a555b8eb41f07a944b,24.89,17.63,74.67,52.89,127.56
001d8f0e34a38c37f7dba2a37d4eba8b,2,e67307ff0f15ade43fcb6e670be7a74c,f4aba7c0bca51484c30ab7bdc34bcdd1,18.99,7.78,37.98,15.56,53.54
0020a222f55eb79a372d0efee3cca688,1,e19ddcc85537b41f22116c8d5425ef46,8a32e327fe2c1b3511609d81aaf9f042,29.99,15.1,29.99,15.1,45.089999999999996
0025081dcf9330f9a5052ae82c6ce396,1,4e3f399366b0047a572b6682f9bb166e,5f3ae9136c875522250f8184f253413a,14.95,18.23,14.95,18.23,33.18
00259a44fcad3fc0474329e925d14fc3,1,0c4d0a08f95c7b7dc5dc7402bfdafd4c,9f505651f4a6abe901a56cdc21508025,19.99,14.1,19.99,14.1,34.089999999999996
0028de0ca693a1bb26448916a81105cc,1,059344baebbeaa42fa9f2bbe11b1583e,955fee9216a65b617aa5c0531780ce60,29.99,15.31,29.99,15.31,45.3
0035e6b7ade84b3f5b86bd49814793df,1,71a5f1c2a5fd9889ef26b5ac22aec9c6,537eb890efff034a88679788b647c564,19.9,14.1,19.9,14.1,34.0
0046e1d57f4c07c8c92ab26be8c3dfc0,1,ff6caf9340512b8bf6d2a2a6df032cfa,38e6dada03429a47197d5d584d793b41,7.79,7.78,7.79,7.78,15.57
00482f2670787292280e0a8153d82467,1,a9c404971d1a5b1cbc2e4070e02731fd,702835e4b785b67a084280efca355756,7.6,10.96,7.6,10.96,18.560000000000002
004eab0fd8f28adaf8d488976f77febe,1,0c753fe6a58dfa7a27bda5de76e779c3,7586919161935337bf6b6d7ff5779648,21.5,11.98,21.5,11.98,33.480000000000004
0057199db02d1a5ef41bacbf41f8f63b,1,41eee23c25f7a574dfaf8d5c151dbb12,e5a3438891c0bfdb9394643f95273d8e,20.3,16.79,20.3,16.79,37.09
005d9a5423d47281ac463a968b3936fb,3,4c3ae5db49258df0784827bdacf3b396,d98eec89afa3380e14463da2aabaea72,24.99,13.58,74.97,40.74,115.71000000000001
006557c3221c1fcd02b0106343ab357b,1,7d187801885842645486f00fb166f378,d91fb3b7d041e83b64a00a3edfb37e4f,14.9,8.27,14.9,8.27,23.17
006df90050498994d670b40da4651d22,1,85d619318aa201aca57171aabeed0048,cea729054f157f5870bdd321a958d994,14.0,7.39,14.0,7.39,21.39
006e05e81c068ddc38e48ebe189b922e,1,02475368dfb38934fe55f574024fe1d7,6560211a19b47992c3666cc44a7e94c0,29.0,14.1,29.0,14.1,43.1
007ec946d4f798caf2b43c9d44c56421,1,779559842fc122d55edbd03153f35e81,f8db351d8c4c4c22c6835c19a46f01b0,27.9,15.1,27.9,15.1,43.0
0080eebb288dba1857ccf048dfe6bdfe,1,2083a6feb4bbb31f6abc92fc24e468c0,cc419e0650a3c5ba77189a1882b7556a,7.0,14.1,7.0,14.1,21.1
008a1b3db2a8bf63418c2cf7c7f494b1,1,5b3aa845bba5aa7ba1216e36ae882cfa,8b28d096634035667e8263d57ba3368c,14.89,18.23,14.89,18.23,33.120000000000005
008d9bf350ff02ed444b3452cf3f57e0,2,efec0b0b076ce3f164b80145743ebc02,1da3aeb70d7989d1e6d9b0e887f97c23,9.99,15.23,19.98,30.46,50.44
00949655cdd8d0465e433a5e6c9643e5,1,0ea04fc101523a27bb53845d14d7d809,8648b1e89e9b349e32d3741b30ec737e,18.0,7.87,18.0,7.87,25.87
0094bd07f49fed90209ffa62d1ef26d6,1,d64e758afad411049a45e42c9a259241,5670f4db5b62c43d542e1b2d56b0cf7c,11.53,7.39,11.53,7.39,18.919999999999998
009ac365164f8e06f59d18a08045f6c4,1,35557c68a22ecebcf066e25ca2ddc144,f8db351d8c4c4c22c6835c19a46f01b0,16.9,15.1,16.9,15.1,32.0
009c278fa2ed6e7ec498200b60193ca8,1,1629b469d01aadb4f92644039ad17d5c,ea8482cd71df3c1969d7b9473ff13abc,29.99,15.1,29.99,15.1,45.089999999999996
00a1e977cf6e672402963940db55d919,1,4834f24983a4f056e5ae64265f723aaf,5656537e588803a555b8eb41f07a944b,24.89,7.75,24.89,7.75,32.64
00a379dfab816a83741012b71b264098,1,786248c98cab9ad5cccdb751909da1af,1da3aeb70d7989d1e6d9b0e887f97c23,15.99,7.39,15.99,7.39,23.38
00a3a334aec7455a6d3319981499a3da,1,0aabfb375647d9738ad0f7b4ea3653b1,37515688008a7a40ac93e3b2e4ab203f,24.5,11.85,24.5,11.85,36.35
00a843f5a80c7aea894c558acc29f513,1,6536314c94d43b787fc1c622941da14b,2138ccb85b11a4ec1e37afbd1c8eda1f,32.99,14.1,32.99,14.1,47.09
00ab3a43bda739029ffce95d3b2fb56c,1,634256dbcd184b3757ffd7632c9fe52a,42b729f859728f5079499127a9c2ef37,27.9,7.46,27.9,7.46,35.36
00ae7a8b4936674ebb701d4a23719a79,1,66f09a6de4f2ef63aaf5349b60a0e0c0,bf0d50a6410d487dc97d2baac0a8c0be,27.9,9.26,27.9,9.26,37.16
00b1861aeb89afa498404c684148a619,2,7e8067e7e5ce7aec0e2cb7c1a456d112,0691148aee60ca47977c187804f935ae,25.79,23.33,51.58,46.66,98.24
